Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC,Metatype,Site
92,07,2110.31,2.707,6.63,14,63.5,2237.55,0,MG20,Sherbrooke
93,07,1881.87,2.707,7.4,13.92,45.68,2261.1,0,MG20,Sherbrooke
94,07,2092.39,2.707,8.44,17.67,77.83,2581.75,0,MG20,Sherbrooke
95,08,2321.56,2.826,2.74,6.37,35.67,2031.25,0,MG20,Sherbrooke
96,08,2304.67,2.826,4.28,9.87,53.51,2030.4,0,MG20,Sherbrooke
97,08,2364.3,2.826,4.79,11.33,69.31,2207.15,0,MG20,Sherbrooke
98,08,2341,2.826,4.28,9.57,46,2166.3,1,MG20,Sherbrooke
99,08,2341,2.826,7.98,17.83,85,2732,1,MG20,Sherbrooke
100,08,2341,2.826,5.16,11.55,55,2141.4,1,MG20,Sherbrooke
101,08,2341,2.826,7.35,16.45,79,2730,1,MG20,Sherbrooke
102,08,2364.19,2.826,4.67,11.06,68.08,2177.6,0,MG20,Sherbrooke
103,08,1899.84,2.826,8.92,16.95,51.72,2617.45,0,MG20,Sherbrooke
104,08,2231.27,2.826,2.81,6.27,29.78,2046.35,0,MG20,Sherbrooke
105,08,2283.69,2.826,4.16,9.5,49.51,2119.4,0,MG20,Sherbrooke
106,08,2316.91,2.826,5.78,13.38,74.27,2235.4,0,MG20,Sherbrooke
107,09,2326.76,2.827,4.31,10.04,56.76,2110.15,0,MG20,Université de Sherbrooke
108,09,2301.47,2.827,3.75,8.64,46.5,2082.25,0,MG20,Université de Sherbrooke
109,09,2364.79,2.827,5.48,12.95,79.29,2099.4,0,MG20,Université de Sherbrooke
110,09,2254.56,2.827,3.04,6.86,33.92,2070.3,0,MG20,Université de Sherbrooke
111,09,2365.15,2.827,6.66,15.76,96.57,2344.9,0,MG20,Université de Sherbrooke
112,09,2307.08,2.827,4.47,10.32,56.14,2096.95,0,MG20,Université de Sherbrooke
113,09,2403.26,2.827,4.36,10.48,69.96,2115,0,MG20,Université de Sherbrooke
114,09,2316.7,2.827,5.28,12.23,67.78,2097.1,0,MG20,Université de Sherbrooke
115,09,2215.58,2.827,3.09,6.86,31.72,2037.6,0,MG20,Université de Sherbrooke
116,09,2197.57,2.827,4.56,10.02,45.04,2015.8,0,MG20,Université de Sherbrooke
117,09,2210.64,2.827,6.56,14.5,66.56,2283.8,0,MG20,Université de Sherbrooke
118,09,2263.16,2.827,7.42,16.79,84.25,2591.1,0,MG20,Université de Sherbrooke
119,10,2108.56,2.758,3.04,6.4,27.2,2058.7,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
122,10,2099.31,2.758,4.33,9.1,38.11,2086.6,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
