Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,theta,DegreeSat_%,Probe,IsPVC,Metatype,Site,g1,g2,rmse,d10,cu
13,2,2080.79,2.772,1.09,0.0227,9.12,1992.05,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
14,2,2081.18,2.772,5.15,0.1072,43.03,2085.5,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
15,2,2067.43,2.772,3.42,0.0707,27.82,2001.1,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
16,2,2071.12,2.772,5.08,0.10529999999999999,41.65,2083.45,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
17,2,2094.41,2.772,6.23,0.1305,53.4,2167.25,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
18,2,2177.69,2.772,7.29,0.1587,74.03,2259.65,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
19,2,2107.65,2.772,7.57,0.1594,66.53,2159.9,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
20,2,2145.1,2.772,7.65,0.1641,72.54,2236.1,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
21,2,2090.49,2.772,7.67,0.1604,65.25,2201.05,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
22,2,1980.76,2.772,9.61,0.19030000000000002,66.66,2268.25,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
23,2,2076.18,2.772,11.11,0.23079999999999998,91.92,2662.3,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5",0.44255345690404335,0.8153739801017447,0.006191989689136187,0.1720205778118277,0.07046043567822192
24,3,1601.43,2.711,7.2,0.1152,28.16,2130.4,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
25,3,1593.28,2.711,8.9,0.1419,34.42,2187.0,0,MG112,"Rue St. Gabriel, Mascouche",81.24266700711004,2.7512510455576797,0.0024750599989457637,0.08925253477966337,0.4555872279613556
