Proctor_ID,Soil_ID,Density_kg/m3,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC
157,16,2135,2.13,4.56,18.56,1954.4,0
158,16,2176,3.51,7.63,33.02,2017.15,0
159,16,2177,4.38,9.54,41.34,2071.45,0
160,16,2220,4.9,10.87,50.4,2091.55,0
161,16,2290,5.33,12.19,63.9,2140.25,0
162,16,2281,6.11,13.95,71.95,2411.45,0
163,16,2277,6.18,14.08,72.06,2288,0
164,16,2233,4.91,10.97,52.01,2101,0
165,16,2267,5.55,12.58,63.22,2277.45,0
166,16,2321,6.25,14.5,80.6,2358.75,0
167,17,1982,8.3,16.54,62.22,2128.05,0
168,17,1973,9.8,19.25,71.56,2203.15,0
169,17,1932,9.47,18.45,64.92,2218.65,1
170,17,1932,12.01,23.2,82,2801,1
171,17,1922,3.7,7.16,24.85,1970.5,0
172,17,2039,9.2,18.72,76.45,2550.45,0
173,17,1999,3.4,6.7,25.79,1981.95,0
174,17,1945,5.2,10.08,36.06,2052.1,0
175,18,1554,12.63,19.64,46.05,2270.5,0
176,18,1687,16.86,28.45,75.41,2655.65,0
177,18,1680,17.02,28.6,75.31,2655.3,0
178,18,1623,19.69,31.94,79.65,2765.4,0
179,19,,,,,,0
180,20,2135,2.13,4.56,18.56,1954.4,0
181,20,2176,3.51,7.63,33.02,2017.15,0
182,20,2177,4.38,9.54,41.34,2071.45,0
183,20,2220,4.9,10.87,50.4,2091.55,0
184,20,2290,5.33,12.19,63.9,2140.25,0
185,20,2281,6.11,13.95,71.95,2411.45,0
186,20,2277,6.18,14.08,72.06,2288,0
187,20,2233,4.91,10.97,52.01,2101,0
188,20,2267,5.55,12.58,63.22,2277.45,0
189,20,2321,6.25,14.5,80.6,2358.75,0
190,21,2179,4.81,10.49,48.47,2114.6,0
191,21,2235,5.67,12.67,64.49,2251.05,0
192,21,2233,6.01,13.43,68.09,2308,0
193,21,2253.13,6.56,14.78,77.85,2365.75,0
